# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Aug 18 14:15:05 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
#
rowid,pl_hostname,pl_letter,pl_orbper,st_teff,st_rad,pl_eqt,pl_trandep,pl_trandur,pl_imppar,st_logg
797,Kepler-148,b,1.72936600,5272.00,0.85,,,0.0732000,0.0500,4.55
798,Kepler-148,c,4.18004300,5272.00,0.85,,,0.1034000,0.4800,4.55
799,Kepler-149,b,29.19894300,5381.00,0.95,,,0.2114000,0.0200,4.46
800,Kepler-149,c,55.32832800,5381.00,0.95,,,0.2895000,0.5000,4.46
801,Kepler-149,d,160.01803200,5381.00,0.95,,,0.2146000,0.6200,4.46
802,Kepler-15,b,4.94278200,5515.00,0.99,,1.126500,0.1458000,0.5540,4.46
803,Kepler-150,b,3.42805400,5560.00,0.94,,,0.0962000,0.0800,4.47
804,Kepler-150,c,7.38199800,5560.00,0.94,,,0.1302000,0.5300,4.47
805,Kepler-150,d,12.56093000,5560.00,0.94,,,0.1568000,0.1200,4.47
806,Kepler-150,e,30.82655700,5560.00,0.94,,,0.2273000,0.9300,4.47
807,Kepler-151,b,15.22895800,5460.00,0.83,,,0.1102000,0.7900,4.55
808,Kepler-151,c,24.67461200,5460.00,0.83,,,0.1256000,0.0600,4.55
809,Kepler-152,b,18.20797300,5088.00,0.72,,,0.1565000,0.0300,4.61
810,Kepler-152,c,88.25505500,5088.00,0.72,,,0.1682000,0.2500,4.61
811,Kepler-153,b,18.87022700,5404.00,0.89,,,0.1281000,0.0300,4.45
812,Kepler-153,c,46.90232000,5404.00,0.89,,,0.1594000,0.2900,4.45
813,Kepler-154,b,33.04053200,5690.00,1.00,,,0.1398000,0.3700,4.42
814,Kepler-154,c,62.30327600,5690.00,1.00,,,0.3129000,0.7000,4.42
815,Kepler-155,b,5.93119400,4508.00,0.62,,,0.0988000,0.6700,4.68
816,Kepler-155,c,52.66179300,4508.00,0.62,,,0.1328000,0.7800,4.68
817,Kepler-156,b,4.97345600,5094.00,0.81,,,0.0658000,0.6900,4.55
818,Kepler-156,c,15.90680100,5094.00,0.81,,,0.1660000,0.6400,4.55
819,Kepler-157,b,1.73234200,5774.00,1.04,,,0.0911000,0.0200,4.39
820,Kepler-157,c,13.54050000,5774.00,1.04,,,0.1881000,0.3400,4.39
821,Kepler-158,b,16.70918400,4623.00,0.62,,,0.1152000,0.8600,4.66
822,Kepler-158,c,28.55138300,4623.00,0.62,,,0.1770000,0.6100,4.66
823,Kepler-159,b,10.13962300,4625.00,0.66,,,0.1122000,0.6800,4.65
824,Kepler-159,c,43.59579200,4625.00,0.66,,,0.2147000,0.7800,4.65
825,Kepler-16,b,228.77600000,4450.00,0.65,,,,,4.65
826,Kepler-160,b,4.30942700,5857.00,0.88,,,0.1259000,0.6800,4.51
827,Kepler-160,c,13.69908700,5857.00,0.88,,,0.2003000,0.8800,4.51
828,Kepler-161,b,4.92135500,5078.00,0.81,,,0.0780000,0.0200,4.55
829,Kepler-161,c,7.06424000,5078.00,0.81,,,0.0563000,0.2000,4.55
830,Kepler-162,b,6.91979800,5816.00,0.96,,,0.1391000,0.2700,4.44
831,Kepler-162,c,19.44635500,5816.00,0.96,,,0.1470000,0.5400,4.44
832,Kepler-163,b,7.81093700,5776.00,0.92,,,0.1400000,0.5500,4.52
833,Kepler-163,c,21.34726200,5776.00,0.92,,,0.1569000,0.1500,4.52
834,Kepler-164,b,5.03503000,5888.00,1.15,,,0.0687000,0.0800,4.33
835,Kepler-164,c,10.94572300,5888.00,1.15,,,0.1252000,0.5100,4.33
836,Kepler-164,d,28.98676900,5888.00,1.15,,,0.1435000,0.2800,4.33
837,Kepler-165,b,8.18084800,5211.00,0.77,,,0.1195000,0.7800,4.54
838,Kepler-165,c,15.31299000,5211.00,0.77,,,0.1262000,0.0600,4.54
839,Kepler-166,b,7.65025400,5413.00,0.74,,,0.1145000,0.0900,4.62
840,Kepler-166,c,34.26028100,5413.00,0.74,,,0.2017000,0.2300,4.62
841,Kepler-167,b,4.39314700,4796.00,0.70,,,0.1005000,0.1800,4.63
842,Kepler-167,c,7.40609700,4796.00,0.70,,,0.1206000,0.1300,4.63
843,Kepler-168,b,4.42539100,6282.00,1.11,,,0.1464000,0.1800,4.42
844,Kepler-168,c,13.19324200,6282.00,1.11,,,0.2057000,0.0200,4.42
845,Kepler-169,b,3.25061900,4997.00,0.76,,,0.0890000,0.4700,4.58
846,Kepler-169,c,6.19546900,4997.00,0.76,,,0.1273000,0.0400,4.58
847,Kepler-169,d,8.34812500,4997.00,0.76,,,0.1163000,0.0400,4.58
848,Kepler-169,e,13.76710200,4997.00,0.76,,,0.1213000,0.7900,4.58
849,Kepler-169,f,87.09019500,4997.00,0.76,,,0.2630000,0.5600,4.58
850,Kepler-17,b,1.48571080,5781.00,1.05,1570,,0.0948500,0.2680,4.53
851,Kepler-170,b,7.93059200,5679.00,1.03,,,0.1533000,0.7600,4.45
852,Kepler-170,c,16.66586300,5679.00,1.03,,,0.1750000,0.4200,4.45
853,Kepler-171,b,4.16697200,5642.00,0.84,,,0.1142000,0.0500,4.57
854,Kepler-171,c,11.46346200,5642.00,0.84,,,0.1069000,0.0400,4.57
855,Kepler-171,d,39.59551900,5642.00,0.84,,,0.2631000,0.5800,4.57
856,Kepler-172,b,2.94030900,5526.00,1.08,,,0.1081000,0.1400,4.38
857,Kepler-172,c,6.38899600,5526.00,1.08,,,0.1412000,0.8100,4.38
858,Kepler-172,d,14.62711900,5526.00,1.08,,,0.1475000,0.0500,4.38
859,Kepler-172,e,35.11873600,5526.00,1.08,,,0.1483000,0.6000,4.38
860,Kepler-173,b,4.26374200,6031.00,0.95,,,0.0942000,0.2500,4.40
861,Kepler-173,c,8.00577700,6031.00,0.95,,,0.1304000,0.3700,4.40
862,Kepler-174,b,13.98179000,4880.00,0.62,,,0.1224000,0.2200,4.68
863,Kepler-174,c,44.00052900,4880.00,0.62,,,0.2157000,0.1100,4.68
864,Kepler-174,d,247.35373000,4880.00,0.62,,,0.3655000,0.0900,4.68
865,Kepler-175,b,11.90351500,6064.00,1.01,,,0.1756000,0.0900,4.47
866,Kepler-175,c,34.03525700,6064.00,1.01,,,0.2940000,0.8500,4.47
867,Kepler-176,b,5.43307400,5232.00,0.89,,,0.1003000,0.0700,4.47
868,Kepler-176,c,12.75971200,5232.00,0.89,,,0.1475000,0.4700,4.47
869,Kepler-176,d,25.75197400,5232.00,0.89,,,0.1189000,0.6600,4.47
870,Kepler-177,b,36.85500000,5942.00,1.07,,,,,4.41
871,Kepler-177,c,49.41200000,5942.00,1.07,,,,,4.41
872,Kepler-178,b,9.57669400,5676.00,1.07,,,0.1407000,0.4900,4.33
873,Kepler-178,c,20.55280200,5676.00,1.07,,,0.0919000,0.3700,4.33
874,Kepler-178,d,96.67898800,5676.00,1.07,,,0.2615000,0.8700,4.33
875,Kepler-179,b,2.73592600,5302.00,0.76,,,0.0828000,0.5700,4.61
876,Kepler-179,c,6.40013000,5302.00,0.76,,,0.0768000,0.0300,4.61
877,Kepler-18,b,3.50472500,5345.00,1.11,,0.025400,0.0865000,0.7710,4.31
878,Kepler-18,c,7.64159000,5345.00,1.11,,0.228660,0.0145000,0.5930,4.31
879,Kepler-18,d,14.85888000,5345.00,1.11,,0.326500,0.1533000,0.7670,4.31
880,Kepler-180,b,13.81712400,5731.00,1.06,,,0.1558000,0.1800,4.34
881,Kepler-180,c,41.88577500,5731.00,1.06,,,0.2600000,0.7500,4.34
882,Kepler-181,b,3.13787300,5333.00,0.75,,,0.0787000,0.1600,4.62
883,Kepler-181,c,4.30214900,5333.00,0.75,,,0.0819000,0.0500,4.62
884,Kepler-182,b,9.82579200,6250.00,1.15,,,0.2067000,0.6800,4.40
885,Kepler-182,c,20.68434200,6250.00,1.15,,,0.2673000,0.2900,4.40
886,Kepler-183,b,5.68794500,5888.00,0.96,,,0.0922000,0.2500,4.50
887,Kepler-183,c,11.63707100,5888.00,0.96,,,0.1370000,0.0100,4.50
888,Kepler-184,b,10.68757600,5788.00,0.87,,,0.1342000,0.2000,4.51
889,Kepler-184,c,20.30300500,5788.00,0.87,,,0.1812000,0.0400,4.51
890,Kepler-184,d,29.02235800,5788.00,0.87,,,0.1650000,0.8900,4.51
891,Kepler-185,b,1.63290000,5208.00,0.81,,,0.0650000,0.3400,4.54
892,Kepler-185,c,20.72904200,5208.00,0.81,,,0.1159000,0.5700,4.54
893,Kepler-186,b,3.88679070,3755.00,0.52,,,,0.3000,4.74
894,Kepler-186,c,7.26730200,3755.00,0.52,,,,0.2800,4.74
895,Kepler-186,d,13.34299600,3755.00,0.52,,,,0.3600,4.74
896,Kepler-186,e,22.40770400,3755.00,0.52,,,,0.3100,4.74
897,Kepler-186,f,129.94410000,3755.00,0.52,,,0.2342000,0.1300,4.74
898,Kepler-187,b,4.93886400,6105.00,1.29,,,0.1783000,0.1500,4.27
899,Kepler-187,c,10.64026300,6105.00,1.29,,,0.2202000,0.0900,4.27
900,Kepler-188,b,2.06189700,6021.00,1.14,,,0.0746000,0.1800,4.35
901,Kepler-188,c,5.99655300,6021.00,1.14,,,0.1346000,0.6600,4.35
902,Kepler-189,b,10.39993100,5235.00,0.75,,,0.1424000,0.2300,4.62
903,Kepler-189,c,20.13486600,5235.00,0.75,,,0.1485000,0.1300,4.62
904,Kepler-19,b,9.28699440,5541.00,0.85,,0.056700,0.1402000,0.0200,4.59
905,Kepler-19,c,160.00000000,5541.00,0.85,,,,,4.59
906,Kepler-190,b,2.01999900,5106.00,0.80,,,0.0759000,0.6800,4.56
907,Kepler-190,c,3.76302400,5106.00,0.80,,,0.0640000,0.1600,4.56
908,Kepler-191,b,9.93963200,5282.00,0.79,,,0.1215000,0.1400,4.59
909,Kepler-191,c,17.73850600,5282.00,0.79,,,0.1175000,0.1400,4.59
910,Kepler-192,b,9.92674600,5479.00,1.01,,,0.1575000,0.3800,4.43
911,Kepler-192,c,21.22340000,5479.00,1.01,,,0.2058000,0.8200,4.43
912,Kepler-193,b,11.38848000,6335.00,1.15,,,0.1507000,0.1200,4.40
913,Kepler-193,c,50.69749400,6335.00,1.15,,,0.2548000,0.0600,4.40
914,Kepler-194,b,2.09228100,6089.00,1.02,,,0.0980000,0.1300,4.42
915,Kepler-194,c,17.30803200,6089.00,1.02,,,0.2067000,0.0800,4.42
916,Kepler-194,d,52.81497300,6089.00,1.02,,,0.3042000,0.1800,4.42
917,Kepler-195,b,8.30787200,5329.00,0.78,,,0.1313000,0.0500,4.60
918,Kepler-195,c,34.09686300,5329.00,0.78,,,0.1627000,0.2900,4.60
919,Kepler-196,b,20.73988600,5128.00,0.78,,,0.1256000,0.2900,4.57
920,Kepler-196,c,47.42773700,5128.00,0.78,,,0.2131000,0.0900,4.57
921,Kepler-197,b,5.59930800,6004.00,1.12,,,0.1534000,0.2200,4.30
922,Kepler-197,c,10.34969500,6004.00,1.12,,,0.1771000,0.2200,4.30
923,Kepler-197,d,15.67756300,6004.00,1.12,,,0.2219000,0.6600,4.30
924,Kepler-197,e,25.20971500,6004.00,1.12,,,0.2624000,0.1400,4.30
925,Kepler-198,b,17.79003700,5574.00,0.94,,,0.1866000,0.0300,4.47
926,Kepler-198,c,49.56741600,5574.00,0.94,,,0.1528000,0.4000,4.47
927,Kepler-199,b,23.63760400,5644.00,0.97,,,0.2064000,0.1500,4.44
928,Kepler-199,c,67.09340800,5644.00,0.97,,,0.2888000,0.1300,4.44
929,Kepler-20,b,3.69612190,5455.00,0.94,1014,,,0.6330,4.40
930,Kepler-20,c,10.85409200,5455.00,0.94,713,,,0.5940,4.40
931,Kepler-20,d,77.61184000,5455.00,0.94,369,,,0.5880,4.40
932,Kepler-20,e,6.09849300,5455.00,0.94,1040,0.008200,,0.6300,4.40
933,Kepler-20,f,19.57706000,5455.00,0.94,705,0.010100,,0.7270,4.40
934,Kepler-200,b,8.59480500,5678.00,0.94,,,0.1472000,0.9300,4.45
935,Kepler-200,c,10.22215700,5678.00,0.94,,,0.0463000,0.7400,4.45
936,Kepler-201,b,25.67208300,6065.00,1.23,,,0.2345000,0.3800,4.29
937,Kepler-201,c,151.88405800,6065.00,1.23,,,0.5412000,0.9200,4.29
938,Kepler-202,b,4.06942700,4668.00,0.67,,,0.0861000,0.6400,4.65
939,Kepler-202,c,16.28249300,4668.00,0.67,,,0.1189000,0.3100,4.65
940,Kepler-203,b,3.16269700,5821.00,1.11,,,0.0792000,0.5200,4.36
941,Kepler-203,c,5.37064700,5821.00,1.11,,,0.0839000,0.1000,4.36
942,Kepler-203,d,11.32972000,5821.00,1.11,,,0.1663000,0.3400,4.36
943,Kepler-204,b,14.40097400,5812.00,1.24,,,0.1627000,0.5700,4.27
944,Kepler-204,c,25.66059300,5812.00,1.24,,,0.1826000,0.6200,4.27
945,Kepler-205,b,2.75564000,4321.00,0.55,,,0.0812000,0.8700,4.74
946,Kepler-205,c,20.30654600,4321.00,0.55,,,0.1197000,0.8100,4.74
947,Kepler-206,b,7.78198700,5764.00,1.19,,,0.1518000,0.3300,4.31
948,Kepler-206,c,13.13747100,5764.00,1.19,,,0.1987000,0.3500,4.31
949,Kepler-206,d,23.44281000,5764.00,1.19,,,0.2245000,0.1000,4.31
950,Kepler-207,b,1.61186500,5920.00,1.59,,,0.1250000,0.3800,4.13
951,Kepler-207,c,3.07157100,5920.00,1.59,,,0.1699000,0.1800,4.13
952,Kepler-207,d,5.86807500,5920.00,1.59,,,0.1654000,0.2700,4.13
953,Kepler-208,b,4.22864000,6092.00,1.31,,,0.1378000,0.1600,4.26
954,Kepler-208,c,7.46662300,6092.00,1.31,,,0.1618000,0.2700,4.26
955,Kepler-208,d,11.13178600,6092.00,1.31,,,0.1716000,0.1100,4.26
956,Kepler-208,e,16.25945800,6092.00,1.31,,,0.1683000,0.2100,4.26
957,Kepler-209,b,16.08784500,5513.00,0.94,,,0.1199000,0.0800,4.47
958,Kepler-209,c,41.74988200,5513.00,0.94,,,0.2346000,0.5800,4.47
959,Kepler-21,b,2.78575500,6131.00,1.86,1956,,0.1432780,0.6400,4.02
960,Kepler-210,b,2.45323400,4559.00,0.65,,,0.0728000,0.7300,4.66
961,Kepler-210,c,7.97251300,4559.00,0.65,,,0.1209000,0.4000,4.66
962,Kepler-211,b,4.13857500,5123.00,0.82,,,0.0928000,0.0200,4.55
963,Kepler-211,c,6.04045000,5123.00,0.82,,,0.0855000,0.0400,4.55
964,Kepler-212,b,16.25758200,5852.00,1.46,,,0.2748000,0.1900,4.18
965,Kepler-212,c,31.80517400,5852.00,1.46,,,0.3465000,0.1500,4.18
966,Kepler-213,b,2.46236000,5696.00,1.20,,,0.0737000,0.2200,4.31
967,Kepler-213,c,4.82296200,5696.00,1.20,,,0.0345000,0.7500,4.31
968,Kepler-214,b,15.66054400,6169.00,1.35,,,0.2919000,0.0300,4.25
969,Kepler-214,c,28.77980000,6169.00,1.35,,,0.3251000,0.2800,4.25
970,Kepler-215,b,9.36067200,5739.00,1.03,,,0.1265000,0.5800,4.36
971,Kepler-215,c,14.66710800,5739.00,1.03,,,0.1606000,0.8500,4.36
972,Kepler-215,d,30.86442300,5739.00,1.03,,,0.1133000,0.1500,4.36
973,Kepler-215,e,68.16101000,5739.00,1.03,,,0.2356000,0.2800,4.36
974,Kepler-216,b,7.69364100,6091.00,1.26,,,0.2104000,0.7200,4.28
975,Kepler-216,c,17.40666900,6091.00,1.26,,,0.2862000,0.0900,4.28
976,Kepler-217,b,5.37494300,6171.00,1.80,,,0.1671000,0.0200,4.03
977,Kepler-217,c,8.58600400,6171.00,1.80,,,0.1398000,0.3700,4.03
978,Kepler-218,b,3.61933700,5502.00,1.06,,,0.1256000,0.0900,4.39
979,Kepler-218,c,44.69957600,5502.00,1.06,,,0.2613000,0.5200,4.39
980,Kepler-219,b,4.58551200,5786.00,1.49,,,0.1363000,0.0300,4.16
981,Kepler-219,c,22.71461300,5786.00,1.49,,,0.2420000,0.0100,4.16
982,Kepler-219,d,47.90364500,5786.00,1.49,,,0.2383000,0.0600,4.16
983,Kepler-22,b,289.86230000,5518.00,0.98,262,,0.3090000,0.7680,4.44
984,Kepler-220,b,4.15980700,4632.00,0.67,,,0.0677000,0.0900,4.65
985,Kepler-220,c,9.03419900,4632.00,0.67,,,0.0619000,0.0600,4.65
986,Kepler-220,d,28.12239700,4632.00,0.67,,,0.1710000,0.1400,4.65
987,Kepler-220,e,45.90273300,4632.00,0.67,,,0.2120000,0.5300,4.65
988,Kepler-221,b,2.79590600,5243.00,0.82,,,0.0860000,0.6100,4.54
989,Kepler-221,c,5.69058600,5243.00,0.82,,,0.1051000,0.0400,4.54
990,Kepler-221,d,10.04156000,5243.00,0.82,,,0.1054000,0.3600,4.54
991,Kepler-221,e,18.36991700,5243.00,0.82,,,0.0935000,0.2600,4.54
992,Kepler-222,b,3.93698100,5433.00,0.87,,,0.0762000,0.5700,4.55
993,Kepler-222,c,10.08881000,5433.00,0.87,,,0.0714000,0.9000,4.55
994,Kepler-222,d,28.08191200,5433.00,0.87,,,0.1892000,0.4400,4.55
995,Kepler-223,b,7.38410800,5829.00,1.02,,,0.2257000,0.0600,4.40
996,Kepler-223,c,9.84818300,5829.00,1.02,,,0.2430000,0.5700,4.40
997,Kepler-223,d,14.78875900,5829.00,1.02,,,0.2486000,0.6000,4.40
998,Kepler-223,e,19.72173400,5829.00,1.02,,,0.2425000,0.1800,4.40
999,Kepler-224,b,3.13292400,5018.00,0.68,,,0.0847000,0.3200,4.64
1000,Kepler-224,c,5.92500300,5018.00,0.68,,,0.1185000,0.8500,4.64
1001,Kepler-224,d,11.34939300,5018.00,0.68,,,0.1297000,0.0100,4.64
1002,Kepler-224,e,18.64357700,5018.00,0.68,,,0.0769000,0.6200,4.64
1003,Kepler-225,b,6.73897500,3682.00,0.48,,,0.1257000,0.4500,4.78
1004,Kepler-225,c,18.79423400,3682.00,0.48,,,0.1366000,0.3200,4.78
1005,Kepler-226,b,3.94099700,5571.00,0.80,,,0.1082000,0.1500,4.59
1006,Kepler-226,c,5.34955500,5571.00,0.80,,,0.1271000,0.2500,4.59
1007,Kepler-226,d,8.10904400,5571.00,0.80,,,0.1541000,0.0600,4.59
1008,Kepler-227,b,9.48801500,5854.00,1.09,,,0.1297000,0.8200,4.40
1009,Kepler-227,c,54.41869400,5854.00,1.09,,,0.1880000,0.0700,4.40
1010,Kepler-228,b,2.56654600,6043.00,1.01,,,0.0970000,0.4500,4.47
1011,Kepler-228,c,4.13444400,6043.00,1.01,,,0.1301000,0.1500,4.47
1012,Kepler-228,d,11.09428600,6043.00,1.01,,,0.1913000,0.4600,4.47
1013,Kepler-229,b,6.25297200,5120.00,0.73,,,0.1100000,0.1100,4.63
1014,Kepler-229,c,16.06863800,5120.00,0.73,,,0.1478000,0.0000,4.63
1015,Kepler-229,d,41.19491200,5120.00,0.73,,,0.2092000,0.8000,4.63
1016,Kepler-23,b,7.10730000,5828.00,1.55,,,0.1988000,,4.09
1017,Kepler-23,c,10.74210000,5828.00,1.55,,,0.2554000,,4.09
1018,Kepler-23,d,15.27429900,5828.00,1.55,,,0.2539000,0.2500,4.09
1019,Kepler-230,b,32.62555500,5588.00,0.82,,,0.2410000,0.9100,4.55
1020,Kepler-230,c,91.77324200,5588.00,0.82,,,0.2514000,0.0300,4.55
1021,Kepler-231,b,10.06527500,3767.00,0.49,,,0.0600000,0.8200,4.78
1022,Kepler-231,c,19.27156600,3767.00,0.49,,,0.1337000,0.8700,4.78
1023,Kepler-232,b,4.43122200,5847.00,0.97,,,0.1322000,0.3500,4.50
1024,Kepler-232,c,11.37934900,5847.00,0.97,,,0.1088000,0.9200,4.50
1025,Kepler-233,b,8.47238200,5360.00,0.76,,,0.1124000,0.0800,4.61
1026,Kepler-233,c,60.41895500,5360.00,0.76,,,0.2341000,0.8600,4.61
1027,Kepler-234,b,2.71150600,6224.00,1.11,,,0.1323000,0.8500,4.42
1028,Kepler-234,c,7.21205000,6224.00,1.11,,,0.1683000,0.1600,4.42
1029,Kepler-235,b,3.34022200,4255.00,0.55,,,0.0802000,0.3700,4.73
1030,Kepler-235,c,7.82490400,4255.00,0.55,,,0.0924000,0.2400,4.73
1031,Kepler-235,d,20.06054800,4255.00,0.55,,,0.1380000,0.1100,4.73
1032,Kepler-235,e,46.18366900,4255.00,0.55,,,0.2014000,0.6800,4.73
1033,Kepler-236,b,8.29561100,3750.00,0.51,,,0.0553000,0.6700,4.75
1034,Kepler-236,c,23.96812700,3750.00,0.51,,,0.1736000,0.8400,4.75
1035,Kepler-237,b,4.71510600,4861.00,0.72,,,0.0980000,0.1900,4.58
1036,Kepler-237,c,8.10363600,4861.00,0.72,,,0.1313000,0.1400,4.58
1037,Kepler-238,b,2.09087600,5751.00,1.43,,,0.1330000,0.7800,4.19
1038,Kepler-238,c,6.15555700,5751.00,1.43,,,0.2015000,0.0600,4.19
1039,Kepler-238,d,13.23354900,5751.00,1.43,,,0.2767000,0.4300,4.19
1040,Kepler-238,e,23.65400000,5751.00,1.43,,,,,4.19
1041,Kepler-238,f,50.44700000,5751.00,1.43,,,,,4.19
1042,Kepler-239,b,11.76305100,4914.00,0.76,,,0.1208000,0.1700,4.58
1043,Kepler-239,c,56.22809800,4914.00,0.76,,,0.1542000,0.8600,4.58
1044,Kepler-24,b,8.14530000,5897.00,1.29,,,0.1675000,,4.20
1045,Kepler-24,c,12.33350000,5897.00,1.29,,,0.1546000,,4.20
1046,Kepler-24,d,4.24438400,5897.00,1.29,,,0.1227000,0.2900,4.20
1047,Kepler-24,e,18.99835500,5897.00,1.29,,,0.1235000,0.1000,4.20
1048,Kepler-240,b,4.14449500,4985.00,0.74,,,0.0987000,0.2400,4.63
1049,Kepler-240,c,7.95352800,4985.00,0.74,,,0.1082000,0.3600,4.63
1050,Kepler-241,b,12.71809200,4699.00,0.67,,,0.1299000,0.5400,4.63
1051,Kepler-241,c,36.06597800,4699.00,0.67,,,0.1780000,0.0700,4.63
1052,Kepler-242,b,8.20395000,5020.00,0.85,,,0.1142000,0.0600,4.49
1053,Kepler-242,c,14.49648100,5020.00,0.85,,,0.1343000,0.3700,4.49
1054,Kepler-243,b,5.71544200,5228.00,0.84,,,0.1035000,0.1700,4.57
1055,Kepler-243,c,20.02621800,5228.00,0.84,,,0.0550000,0.7700,4.57
1056,Kepler-244,b,4.31179200,5554.00,0.80,,,0.1140000,0.5200,4.58
1057,Kepler-244,c,9.76729200,5554.00,0.80,,,0.0572000,0.4900,4.58
1058,Kepler-244,d,20.05040100,5554.00,0.80,,,0.1877000,0.1100,4.58
1059,Kepler-245,b,7.49019000,5100.00,0.80,,,0.1168000,0.2000,4.56
1060,Kepler-245,c,17.46081200,5100.00,0.80,,,0.0935000,0.2000,4.56
1061,Kepler-245,d,36.27710800,5100.00,0.80,,,0.2002000,0.1800,4.56
1062,Kepler-246,b,4.60182000,5206.00,0.83,,,0.0928000,0.5800,4.56
1063,Kepler-246,c,11.18716100,5206.00,0.83,,,0.1317000,0.0400,4.56
1064,Kepler-247,b,3.33616000,5100.00,0.77,,,0.0865000,0.1400,4.61
1065,Kepler-247,c,9.43945200,5100.00,0.77,,,0.1207000,0.1400,4.61
1066,Kepler-247,d,20.47791200,5100.00,0.77,,,0.1278000,0.1300,4.61
1067,Kepler-248,b,6.30820500,5190.00,0.83,,,0.1253000,0.3800,4.57
1068,Kepler-248,c,16.23949400,5190.00,0.83,,,0.1679000,0.0800,4.57
1069,Kepler-249,b,3.30653900,3568.00,0.48,,,0.0736000,0.2600,4.78
1070,Kepler-249,c,7.11370200,3568.00,0.48,,,0.0925000,0.7900,4.78
1071,Kepler-249,d,15.36845900,3568.00,0.48,,,0.1124000,0.9000,4.78
1072,Kepler-25,b,6.23850000,6270.00,1.31,,,0.1492000,,4.28
1073,Kepler-25,c,12.72040000,6270.00,1.31,,,0.1204000,,4.28
1074,Kepler-25,d,123.00000000,6270.00,1.31,,,,,4.28
1075,Kepler-250,b,4.14814100,5160.00,0.81,,,0.1001000,0.7500,4.57
1076,Kepler-250,c,7.15680400,5160.00,0.81,,,0.1070000,0.0500,4.57
1077,Kepler-250,d,17.64831200,5160.00,0.81,,,0.0825000,0.0200,4.57
1078,Kepler-251,b,4.79093600,5526.00,0.89,,,0.1127000,0.2500,4.49
1079,Kepler-251,c,16.51404300,5526.00,0.89,,,0.1712000,0.2000,4.49
1080,Kepler-251,d,30.13300100,5526.00,0.89,,,0.2050000,0.3000,4.49
1081,Kepler-251,e,99.64016100,5526.00,0.89,,,0.1817000,0.2300,4.49
1082,Kepler-252,b,6.66839100,4208.00,0.55,,,0.0824000,0.7800,4.72
1083,Kepler-252,c,10.84846300,4208.00,0.55,,,0.1240000,0.1700,4.72
1084,Kepler-253,b,3.78398600,5208.00,0.79,,,0.0805000,0.2700,4.59
1085,Kepler-253,c,10.28195100,5208.00,0.79,,,0.1465000,0.4900,4.59
1086,Kepler-253,d,18.11986900,5208.00,0.79,,,0.1787000,0.6500,4.59
1087,Kepler-254,b,5.82666200,5957.00,0.91,,,0.1263000,0.7400,4.52
1088,Kepler-254,c,12.41218300,5957.00,0.91,,,0.1401000,0.0500,4.52
1089,Kepler-254,d,18.74647700,5957.00,0.91,,,0.1650000,0.1500,4.52
1090,Kepler-255,b,5.71460600,5573.00,0.93,,,0.0932000,0.0100,4.52
1091,Kepler-255,c,9.94604700,5573.00,0.93,,,0.1408000,0.3300,4.52
1092,Kepler-256,b,1.62049300,5551.00,1.30,,,0.0934000,0.0700,4.22
1093,Kepler-256,c,3.38802000,5551.00,1.30,,,0.1095000,0.1600,4.22
1094,Kepler-256,d,5.83917200,5551.00,1.30,,,0.1306000,0.8400,4.22
1095,Kepler-256,e,10.68157200,5551.00,1.30,,,0.1476000,0.0400,4.22
1096,Kepler-257,b,2.38266700,5180.00,1.04,,,0.0755000,0.0900,4.36
1097,Kepler-257,c,6.58148400,5180.00,1.04,,,0.1370000,0.7600,4.36
1098,Kepler-257,d,24.66455100,5180.00,1.04,,,0.1106000,0.1300,4.36
1099,Kepler-258,b,13.19722000,4942.00,0.92,,,0.1424000,0.1100,4.44
1100,Kepler-258,c,33.65307900,4942.00,0.92,,,0.1719000,0.8500,4.44
1101,Kepler-259,b,8.11531700,5938.00,0.90,,,0.1231000,0.7500,4.53
1102,Kepler-259,c,36.92493100,5938.00,0.90,,,0.1968000,0.0300,4.53
1103,Kepler-26,b,12.28290000,4486.00,0.57,,,0.1175000,,4.73
1104,Kepler-26,c,17.25130000,4486.00,0.57,,,0.0883000,,4.73
1105,Kepler-26,d,3.54391900,4486.00,0.57,,,0.0838000,0.3100,4.73
1106,Kepler-26,e,46.82791500,4486.00,0.57,,,0.0868000,0.7700,4.73
1107,Kepler-260,b,8.18739900,5250.00,0.86,,,0.1261000,0.4600,4.49
1108,Kepler-260,c,76.05017800,5250.00,0.86,,,0.2844000,0.6600,4.49
1109,Kepler-261,b,10.38122700,5098.00,0.79,,,0.1150000,0.1600,4.56
1110,Kepler-261,c,24.57085800,5098.00,0.79,,,0.1150000,0.1900,4.56
1111,Kepler-262,b,13.06085500,5841.00,0.88,,,0.1366000,0.7600,4.54
1112,Kepler-262,c,21.85372200,5841.00,0.88,,,0.1454000,0.0700,4.54
